,gtfs_agency_name,gtfs_stop_id,gtfs_stop_lat,gtfs_stop_lon,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_lon,osm_lat,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
5232,Phébus,StopPoint:36:2081,48.800408,2.064809,078078006:6,415372,Gare de Saint-Cyr l'Ecole,Mairie,StopPoint:Node:156492856,2.0664718,48.7999344,078078006:6,415372,Gare de Saint-Cyr,Mairie,133.02602786143945
5257,RATP,StopPoint:59:3716895,48.843693,2.373303,100100020:20,421409,GARE DE LYON.,GARE DE LYON,StopPoint:Node:1352477879,2.3741662999999997,48.8432202,100100020:20,421409,Gare de Lyon,Gare de Lyon,82.33997098409341
5267,RATP,StopPoint:59:3807627,48.868126,2.343281,100100020:20,26750,GARE DE LYON.,REAUMUR - MONTMARTRE,StopPoint:Node:1244633375,2.3442419,48.867955099999996,100100020:20,26750,Gare de Lyon,Réaumur — Montmartre,73.01325038810802
5712,RATP,StopPoint:59:5018165,48.888796,2.315672,100100031:31,40838,CHARLES DE GAULLE - ETOILE,PARC MARTIN LUTHER KING,StopPoint:Node:596084024,2.3163819,48.8894494,100100031:31,40838,Charles de Gaulle-Étoile,Parc Martin Luther King,89.38761823082604
5763,RATP,StopPoint:59:5761425,48.895407,2.370409,100100035:35,23485,MAIRIE D'AUBERVILLIERS,EVANGILE - AUBERVILLIERS,StopPoint:Node:2327643422,2.3694595,48.895195199999996,100100035:35,23485,Aubervilliers — Mairie d'Aubervilliers,Évangile - Aubervilliers,73.4984460334265
5907,RATP,StopPoint:59:3807627,48.868126,2.343281,100100039:39,26750,GARE DU NORD,REAUMUR - MONTMARTRE,StopPoint:Node:1244633375,2.3442419,48.867955099999996,100100039:39,26750,Gare du Nord,Réaumur — Montmartre,73.01325038810802
6123,RATP,StopPoint:59:3749749,48.878571,2.399803,100100048:48,24822,PALAIS ROYAL - MUSEE DU LOUVRE,RUE DES BOIS,StopPoint:Node:589365381,2.3941613999999998,48.8775749,100100048:48,24822,Palais Royal-Musée du Louvre,Place des Fetes,428.38269955310386
6124,RATP,StopPoint:59:3749751,48.876148,2.393464,100100048:48,26274,PORTE DES LILAS,PLACE DES FETES,StopPoint:Node:589386016,2.3925209,48.876910699999996,100100048:48,26274,Porte des Lilas,Place des Fêtes,109.45210619142766
6176,RATP,StopPoint:59:4016293,48.891322,2.318669,100100054:54,24603,PORTE D'AUBERVILLIERS,BROCHANT - CARDINET,StopPoint:Node:596079812,2.3179000999999997,48.891836,100100054:54,24603,Porte d'Aubervilliers,Brochant - Cardinet,80.2899897227882
6225,RATP,StopPoint:59:3926297,48.846136,2.376886,100100057:57,24798,PORTE DE BAGNOLET - LOUIS GANNE,DAUMESNIL - DIDEROT,StopPoint:Node:1223052374,2.3780989999999997,48.846289,100100057:57,24798,Porte de Bagnolet - Louis Ganne,Daumesnil - Diderot,90.64158374359499
6307,RATP,StopPoint:59:3749751,48.876148,2.393464,100100060:60,26274,GAMBETTA,PLACE DES FETES,StopPoint:Node:589386016,2.3925209,48.876910699999996,100100060:60,26274,Gambetta,Place des Fêtes,109.45210619142766
6316,RATP,StopPoint:59:5761425,48.895407,2.370409,100100060:60,23485,GAMBETTA,EVANGILE - AUBERVILLIERS,StopPoint:Node:2327643422,2.3694595,48.895195199999996,100100060:60,23485,Gambetta,Évangile - Aubervilliers,73.4984460334265
6327,RATP,StopPoint:59:5770770,48.87362,2.397958,100100060:60,36671,PORTE DE MONTMARTRE,BORREGO,StopPoint:Node:1577467570,2.3979646999999997,48.8729885,100100060:60,36671,Porte de Montmartre,Borrégo,70.22911881829856
6351,RATP,StopPoint:59:6591535,48.875551,2.399799,100100060:60,36684,GAMBETTA,PELLEPORT - BELLEVILLE,StopPoint:Node:5142458113,2.3978466,48.87493,100100060:60,36684,Gambetta,Pelleport - Belleville,158.99805322960557
6365,RATP,StopPoint:59:3673610,48.874757,2.405725,100100061:61,20004,EGLISE DE PANTIN-METRO,PISCINE DES TOURELLES,StopPoint:Node:2042462285,2.4054302,48.8741352,100100061:61,20004,Pantin — Église de Pantin,Piscine des Tourelles,72.45131330328309
6534,RATP,StopPoint:59:3765214,48.858087,2.323666,100100063:63,35141,PORTE DE LA MUETTE,SOLFERINO - BELLECHASSE,StopPoint:Node:1529824781,2.322926,48.8588911,100100063:63,35141,Porte de la Muette,Solférino - Bellechasse,104.61711948955426
